region_id,tile_id,class_label,crs,centroid_lon,centroid_lat,area_m2,mean_elevation,mean_slope,mean_curvature,mean_roughness
1,T01_000893_1847_XN_04N191W__N09_065929_1853_XN_05N191W-DEM,rough_terrain,"PROJCS[""Mars (2015) - Sphere / Ocentric / Equirectangular, clon = 0"",GEOGCS[""Mars (2015) - Sphere / Ocentric"",DATUM[""Mars (2015) - Sphere"",SPHEROID[""Mars (2015) - Sphere"",3396190,0,AUTHORITY[""IAU"",""49900""]],AUTHORITY[""IAU"",""49900""]],PRIMEM[""Reference Meridian"",0,AUTHORITY[""IAU"",""49900""]],UNIT[""degree"",0.0174532925199433,AUTHORITY[""EPSG"",""9122""]],AUTHORITY[""IAU"",""49900""]],PROJECTION[""Equirectangular""],PARAMETER[""standard_parallel_1"",0],PARAMETER[""central_meridian"",0],PARAMETER[""false_easting"",0],PARAMETER[""false_northing"",0],UNIT[""metre"",1,AUTHORITY[""EPSG"",""9001""]],AXIS[""Easting"",EAST],AXIS[""Northing"",NORTH],AUTHORITY[""IAU"",""49910""]]",9972645.25201186,294075.52731893264,944400.0,-3907.141845703125,47.507728576660156,-17.31670570373535,12554.3740234375
2,T01_000893_1847_XN_04N191W__N09_065929_1853_XN_05N191W-DEM,rough_terrain,"PROJCS[""Mars (2015) - Sphere / Ocentric / Equirectangular, clon = 0"",GEOGCS[""Mars (2015) - Sphere / Ocentric"",DATUM[""Mars (2015) - Sphere"",SPHEROID[""Mars (2015) - Sphere"",3396190,0,AUTHORITY[""IAU"",""49900""]],AUTHORITY[""IAU"",""49900""]],PRIMEM[""Reference Meridian"",0,AUTHORITY[""IAU"",""49900""]],UNIT[""degree"",0.0174532925199433,AUTHORITY[""EPSG"",""9122""]],AUTHORITY[""IAU"",""49900""]],PROJECTION[""Equirectangular""],PARAMETER[""standard_parallel_1"",0],PARAMETER[""central_meridian"",0],PARAMETER[""false_easting"",0],PARAMETER[""false_northing"",0],UNIT[""metre"",1,AUTHORITY[""EPSG"",""9001""]],AXIS[""Easting"",EAST],AXIS[""Northing"",NORTH],AUTHORITY[""IAU"",""49910""]]",9984906.672489082,280811.3420669578,1374000.0,-3918.406494140625,48.285926818847656,-16.601089477539062,12293.9921875
3,T01_000893_1847_XN_04N191W__N09_065929_1853_XN_05N191W-DEM,rough_terrain,"PROJCS[""Mars (2015) - Sphere / Ocentric / Equirectangular, clon = 0"",GEOGCS[""Mars (2015) - Sphere / Ocentric"",DATUM[""Mars (2015) - Sphere"",SPHEROID[""Mars (2015) - Sphere"",3396190,0,AUTHORITY[""IAU"",""49900""]],AUTHORITY[""IAU"",""49900""]],PRIMEM[""Reference Meridian"",0,AUTHORITY[""IAU"",""49900""]],UNIT[""degree"",0.0174532925199433,AUTHORITY[""EPSG"",""9122""]],AUTHORITY[""IAU"",""49900""]],PROJECTION[""Equirectangular""],PARAMETER[""standard_parallel_1"",0],PARAMETER[""central_meridian"",0],PARAMETER[""false_easting"",0],PARAMETER[""false_northing"",0],UNIT[""metre"",1,AUTHORITY[""EPSG"",""9001""]],AXIS[""Easting"",EAST],AXIS[""Northing"",NORTH],AUTHORITY[""IAU"",""49910""]]",9963157.307692308,291509.6153846154,41600.0,-3915.189208984375,42.53091049194336,-5.98467493057251,8751.90625
4,T01_000893_1847_XN_04N191W__N09_065929_1853_XN_05N191W-DEM,rough_terrain,"PROJCS[""Mars (2015) - Sphere / Ocentric / Equirectangular, clon = 0"",GEOGCS[""Mars (2015) - Sphere / Ocentric"",DATUM[""Mars (2015) - Sphere"",SPHEROID[""Mars (2015) - Sphere"",3396190,0,AUTHORITY[""IAU"",""49900""]],AUTHORITY[""IAU"",""49900""]],PRIMEM[""Reference Meridian"",0,AUTHORITY[""IAU"",""49900""]],UNIT[""degree"",0.0174532925199433,AUTHORITY[""EPSG"",""9122""]],AUTHORITY[""IAU"",""49900""]],PROJECTION[""Equirectangular""],PARAMETER[""standard_parallel_1"",0],PARAMETER[""central_meridian"",0],PARAMETER[""false_easting"",0],PARAMETER[""false_northing"",0],UNIT[""metre"",1,AUTHORITY[""EPSG"",""9001""]],AXIS[""Easting"",EAST],AXIS[""Northing"",NORTH],AUTHORITY[""IAU"",""49910""]]",9964450.807703363,278297.02213279676,1391600.0,-3916.26904296875,48.54973602294922,-16.308534622192383,12206.8564453125
5,T01_000893_1847_XN_04N191W__N09_065929_1853_XN_05N191W-DEM,rough_terrain,"PROJCS[""Mars (2015) - Sphere / Ocentric / Equirectangular, clon = 0"",GEOGCS[""Mars (2015) - Sphere / Ocentric"",DATUM[""Mars (2015) - Sphere"",SPHEROID[""Mars (2015) - Sphere"",3396190,0,AUTHORITY[""IAU"",""49900""]],AUTHORITY[""IAU"",""49900""]],PRIMEM[""Reference Meridian"",0,AUTHORITY[""IAU"",""49900""]],UNIT[""degree"",0.0174532925199433,AUTHORITY[""EPSG"",""9122""]],AUTHORITY[""IAU"",""49900""]],PROJECTION[""Equirectangular""],PARAMETER[""standard_parallel_1"",0],PARAMETER[""central_meridian"",0],PARAMETER[""false_easting"",0],PARAMETER[""false_northing"",0],UNIT[""metre"",1,AUTHORITY[""EPSG"",""9001""]],AXIS[""Easting"",EAST],AXIS[""Northing"",NORTH],AUTHORITY[""IAU"",""49910""]]",9965066.25,290116.80555555556,57600.0,-3918.076416015625,40.968936920166016,-5.415487289428711,8391.486328125
6,T01_000893_1847_XN_04N191W__N09_065929_1853_XN_05N191W-DEM,rough_terrain,"PROJCS[""Mars (2015) - Sphere / Ocentric / Equirectangular, clon = 0"",GEOGCS[""Mars (2015) - Sphere / Ocentric"",DATUM[""Mars (2015) - Sphere"",SPHEROID[""Mars (2015) - Sphere"",3396190,0,AUTHORITY[""IAU"",""49900""]],AUTHORITY[""IAU"",""49900""]],PRIMEM[""Reference Meridian"",0,AUTHORITY[""IAU"",""49900""]],UNIT[""degree"",0.0174532925199433,AUTHORITY[""EPSG"",""9122""]],AUTHORITY[""IAU"",""49900""]],PROJECTION[""Equirectangular""],PARAMETER[""standard_parallel_1"",0],PARAMETER[""central_meridian"",0],PARAMETER[""false_easting"",0],PARAMETER[""false_northing"",0],UNIT[""metre"",1,AUTHORITY[""EPSG"",""9001""]],AXIS[""Easting"",EAST],AXIS[""Northing"",NORTH],AUTHORITY[""IAU"",""49910""]]",9964055.185185185,285020.74074074073,43200.0,-3924.054931640625,48.939849853515625,-9.182075500488281,9800.220703125
7,T01_000893_1847_XN_04N191W__N09_065929_1853_XN_05N191W-DEM,rough_terrain,"PROJCS[""Mars (2015) - Sphere / Ocentric / Equirectangular, clon = 0"",GEOGCS[""Mars (2015) - Sphere / Ocentric"",DATUM[""Mars (2015) - Sphere"",SPHEROID[""Mars (2015) - Sphere"",3396190,0,AUTHORITY[""IAU"",""49900""]],AUTHORITY[""IAU"",""49900""]],PRIMEM[""Reference Meridian"",0,AUTHORITY[""IAU"",""49900""]],UNIT[""degree"",0.0174532925199433,AUTHORITY[""EPSG"",""9122""]],AUTHORITY[""IAU"",""49900""]],PROJECTION[""Equirectangular""],PARAMETER[""standard_parallel_1"",0],PARAMETER[""central_meridian"",0],PARAMETER[""false_easting"",0],PARAMETER[""false_northing"",0],UNIT[""metre"",1,AUTHORITY[""EPSG"",""9001""]],AXIS[""Easting"",EAST],AXIS[""Northing"",NORTH],AUTHORITY[""IAU"",""49910""]]",9977492.24114128,265294.3488265071,869200.0,-3896.037353515625,47.688880920410156,-16.99102020263672,12434.380859375
8,T01_000893_1847_XN_04N191W__N09_065929_1853_XN_05N191W-DEM,plain,"PROJCS[""Mars (2015) - Sphere / Ocentric / Equirectangular, clon = 0"",GEOGCS[""Mars (2015) - Sphere / Ocentric"",DATUM[""Mars (2015) - Sphere"",SPHEROID[""Mars (2015) - Sphere"",3396190,0,AUTHORITY[""IAU"",""49900""]],AUTHORITY[""IAU"",""49900""]],PRIMEM[""Reference Meridian"",0,AUTHORITY[""IAU"",""49900""]],UNIT[""degree"",0.0174532925199433,AUTHORITY[""EPSG"",""9122""]],AUTHORITY[""IAU"",""49900""]],PROJECTION[""Equirectangular""],PARAMETER[""standard_parallel_1"",0],PARAMETER[""central_meridian"",0],PARAMETER[""false_easting"",0],PARAMETER[""false_northing"",0],UNIT[""metre"",1,AUTHORITY[""EPSG"",""9001""]],AXIS[""Easting"",EAST],AXIS[""Northing"",NORTH],AUTHORITY[""IAU"",""49910""]]",9974959.626168225,293982.80373831774,42800.0,-3901.332275390625,1.7096784114837646,-0.0008095892844721675,1.1357133388519287
9,T01_000893_1847_XN_04N191W__N09_065929_1853_XN_05N191W-DEM,plain,"PROJCS[""Mars (2015) - Sphere / Ocentric / Equirectangular, clon = 0"",GEOGCS[""Mars (2015) - Sphere / Ocentric"",DATUM[""Mars (2015) - Sphere"",SPHEROID[""Mars (2015) - Sphere"",3396190,0,AUTHORITY[""IAU"",""49900""]],AUTHORITY[""IAU"",""49900""]],PRIMEM[""Reference Meridian"",0,AUTHORITY[""IAU"",""49900""]],UNIT[""degree"",0.0174532925199433,AUTHORITY[""EPSG"",""9122""]],AUTHORITY[""IAU"",""49900""]],PROJECTION[""Equirectangular""],PARAMETER[""standard_parallel_1"",0],PARAMETER[""central_meridian"",0],PARAMETER[""false_easting"",0],PARAMETER[""false_northing"",0],UNIT[""metre"",1,AUTHORITY[""EPSG"",""9001""]],AXIS[""Easting"",EAST],AXIS[""Northing"",NORTH],AUTHORITY[""IAU"",""49910""]]",9977597.0,293971.0,40000.0,-3897.542724609375,1.7812628746032715,-0.00021230849961284548,1.1764194965362549
10,T01_000893_1847_XN_04N191W__N09_065929_1853_XN_05N191W-DEM,plain,"PROJCS[""Mars (2015) - Sphere / Ocentric / Equirectangular, clon = 0"",GEOGCS[""Mars (2015) - Sphere / Ocentric"",DATUM[""Mars (2015) - Sphere"",SPHEROID[""Mars (2015) - Sphere"",3396190,0,AUTHORITY[""IAU"",""49900""]],AUTHORITY[""IAU"",""49900""]],PRIMEM[""Reference Meridian"",0,AUTHORITY[""IAU"",""49900""]],UNIT[""degree"",0.0174532925199433,AUTHORITY[""EPSG"",""9122""]],AUTHORITY[""IAU"",""49900""]],PROJECTION[""Equirectangular""],PARAMETER[""standard_parallel_1"",0],PARAMETER[""central_meridian"",0],PARAMETER[""false_easting"",0],PARAMETER[""false_northing"",0],UNIT[""metre"",1,AUTHORITY[""EPSG"",""9001""]],AXIS[""Easting"",EAST],AXIS[""Northing"",NORTH],AUTHORITY[""IAU"",""49910""]]",9978868.217054263,293776.27906976745,51600.0,-3899.9892578125,1.6943296194076538,-0.0002990947396028787,1.1722506284713745
